case,family,corrected,plane,N,f_pos,meanQ_pos,f_strong,Q_p99,Q_max
CS_250_9,CS,False,Bend60,8614,0.7865103320176456,160.22596399843323,0.689807290457395,632.7318463800029,1340.55591
CS_250_9,CS,False,Bend90,8740,0.7259725400457666,146.9742192535898,0.6665903890160183,386.55870546,396.900879
CS_250_9,CS,False,BendEnd,8740,0.7259725400457666,146.9742192535898,0.6665903890160183,386.55870546,396.900879
CS_250_9,CS,False,BendStart,8740,0.6295194508009153,228.08538938875841,0.6036613272311213,512.09249387,842.601196
CS_250_9,CS,False,ConeEnd,8456,0.6957190160832545,164.94644316378444,0.6374172185430463,347.6637648,350.42511
CS_250_9,CS,False,GVEnd,8449,0.5715469286306072,259.5045737207098,0.5433779145461002,963.0378638400043,1604.57104
CS_250_9,CS,False,GVEnd z680,32314,0.61134492789503,249.9041768435238,0.5828433496317386,895.4356085999962,1375.86682
CS_250_9,CS,False,GVEnd2,8449,0.5516629186886022,135.5292365930977,0.4802935258610486,438.0674732800006,560.803894
CS_250_9,CS,False,GVEnd3,8546,0.6376082377720571,112.72070455568353,0.5396676807863328,433.04638234999993,472.357574
CS_250_9,CS,False,GVEnd4,8620,0.5995359628770301,139.04915837434172,0.5060324825986079,478.8630908799998,512.937927
CS_250_9,CS,False,GVEnd5,8460,0.6404255319148936,149.48931665564874,0.5739952718676123,499.81262934999995,530.116516
CS_250_9,CS,False,GVEnd6,8449,0.6217303822937625,175.08042230812973,0.5730855722570718,531.1616455600001,555.584229
CS_250_9,CS,False,GVStart,36355,0.7990097648191445,2432.560920208034,0.782643377802228,23735.162694,32848.3906
CS_250_9,CS,False,RDTStart,2545,0.04950884086444008,2.456347151770952,0.0,3.3760199699999953,14.2101336
CS_250_9,CS,True,Bend00,8740,0.727345537757437,149.24805511298757,0.706979405034325,252.53164152000002,557.521729
CS_250_9,CS,True,Bend30,8614,0.7348502437891804,132.36324716106665,0.7119804968655676,316.3145904100003,370.393372
CS_250_9,CS,True,Bend45,8591,0.7469444767780236,124.03635740149124,0.7167966476545222,305.9726169,347.530273
CS_250_9,CS,True,Bend60,8614,0.74703970280938,124.3100992708045,0.7076851636870212,354.83128792000036,565.157776
CS_250_9,CS,True,Bend90,8740,0.7022883295194507,123.47699397311696,0.6411899313501144,310.1032499100001,322.445251
CS_250_9,CS,True,BendEnd,8740,0.7022883295194507,123.47699397311696,0.6411899313501144,310.1032499100001,322.445251
CS_250_9,CS,True,BendStart,8740,0.7265446224256293,149.171806066063,0.7064073226544623,252.2783744600003,557.521729
